14:34:16.561 [http-nio-8080-exec-9] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
14:34:16.579 [http-nio-8080-exec-9] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/, Client IP : 0:0:0:0:0:0:0:1 
15:10:59.760 [http-nio-8080-exec-2] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
15:10:59.762 [http-nio-8080-exec-2] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/, Client IP : 0:0:0:0:0:0:0:1 
15:15:19.047 [http-nio-4521-exec-2] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
15:15:19.050 [http-nio-4521-exec-2] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:4521/eStore/, Client IP : 0:0:0:0:0:0:0:1 
15:17:14.153 [http-nio-4521-exec-9] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
15:17:14.165 [http-nio-4521-exec-9] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:4521/eStore/, Client IP : 0:0:0:0:0:0:0:1 
15:24:17.716 [http-nio-1215-exec-2] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
15:24:17.718 [http-nio-1215-exec-2] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:1215/eStore/, Client IP : 0:0:0:0:0:0:0:1 
17:39:47.662 [http-nio-1215-exec-10] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
17:39:47.665 [http-nio-1215-exec-10] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:1215/eStore/, Client IP : 0:0:0:0:0:0:0:1 
17:59:14.119 [http-nio-1215-exec-4] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
17:59:14.160 [http-nio-1215-exec-4] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:1215/eStore/, Client IP : 0:0:0:0:0:0:0:1 
18:05:21.179 [http-nio-2315-exec-2] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
18:05:21.181 [http-nio-2315-exec-2] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:2315/eStore/, Client IP : 0:0:0:0:0:0:0:1 
18:15:27.677 [http-nio-8080-exec-53] INFO  k.a.h.cse.controller.HomeController - info level : welcome home! The client locale is ko_KR 
18:15:27.689 [http-nio-8080-exec-53] INFO  k.a.h.cse.controller.HomeController - Request URL : http://localhost:8080/eStore/, Client IP : 0:0:0:0:0:0:0:1 
